+---------------------------+---------------------+--------------+----------+--------+--------------+---------------------+----------------+
| Producto                  | Descripcion         | Marca        | Cantidad | Unidad | Proveedor    | Categoria           | Precio Cuidados|
+---------------------------+---------------------+--------------+----------+--------+--------------+---------------------+----------------+
| Arroz                     | Largo fino 0000     | Primor       | 1        | kg     | Bunge        | Almacén             | $139,90        |
| Caf                       | Instantáneo         | La Morenita  | 100      | gr     | La Virginia  | Almacén             | $179,90        |
| Fideos                    | Tallarín            | Cica         | 500      | gr     | Tres arroyos | Almacén             | $129,90        |
| Fideos                    | Mostachol           | Cica         | 500      | gr     | Tres arroyos | Almacén             | $129,90        |
| Fideos                    | Cellentano          | Cica         | 500      | gr     | Tres arroyos | Almacén             | $129,90        |
| Galletitas dulces rellenas| Duquesa             | Mondelez     | 162      | gr     | Mondelez     | Almacén             | $149,90        |
| Galletitas dulces rellenas| Melba               | Mondelez     | 157      | gr     | Mondelez     | Almacén             | $149,90        |
| Galletitas dulces Rellena | Vainilla Polvorita  | Arcor        | 150      | gr     | Arcor        | Almacén             | $149,90        |
| Galletitas de agua        | Mediatarde          | Arcor        | 110      | gr     | Arcor        | Almacén             | $129,90        |
| Harina de maíz            |                     | Morixe       | 500      | gr     | Morixe       | Almacén             | $99,90         |
| Harina de trigo 000       |                     | Morixe       | 1        | kg     | Morixe       | Almacén             | $129,90        |
| Harina de trigo 0000      |                     | Morixe       | 1        | kg     | Morixe       | Almacén             | $129,90        |
| Harina de trigo Leudante  |                     | Morixe       | 1        | kg     | Morixe       | Almacén             | $129,90        |
| Mayonesa                  | Sin tacc doypack    | Fanacoa      | 475      | gr     | Unilever     | Almacén             | $149,90        |
| Mermelada                 | Durazno             | Noel         | 454      | gr     | Arcor        | Almacén             | $149,90        |
| Pan rallado               |                     | Morixe       | 500      | gr     | Morixe       | Almacén             | $99,90         |
| Puré de papas             |                     | Morixe       | 125      | gr     | Morixe       | Almacén             | $99,90         |
| Rebozador                 |                     | Morixe       | 500      | gr     | Morixe       | Almacén             | $99,90         |
| Sal fina                  |                     | Dos Anclas   | 500      | gr     | Cia. Introd. | Almacén             | $99,90         |
| Vinagre                   | Alcohol             | Alcazar      | 1000     | cc     | Menoyo       | Almacén             | $99,90         |
